,0
2017-10-16,9990.374718421937
2017-10-17,10022.050083869935
2017-10-18,9987.979965919496
2017-10-19,9999.538388008119
2017-10-20,10062.184387916566
2017-10-23,10012.751642936708
2017-10-24,10101.4924457016
2017-10-25,9867.822902164462
2017-10-26,9926.273950061799
2017-10-27,10120.814454517367
2017-10-30,10117.181413135531
2017-10-31,10135.542041263583
2017-11-01,10124.365411243441
2017-11-02,10141.464168033603
2017-11-03,10175.632022342685
2017-11-06,10197.511500797274
2017-11-07,10167.542191944125
2017-11-08,10150.4028563118
2017-11-09,10055.860263309482
2017-11-10,10098.583408293727
2017-11-13,10082.621645865443
2017-11-14,10018.796477255824
2017-11-15,9989.70291083813
2017-11-16,10145.312823710445
2017-11-17,10140.924446043971
2017-11-20,10166.821845946315
2017-11-21,10254.629198666576
2017-11-22,10268.745708580975
2017-11-24,10298.391268368725
2017-11-27,10113.862689133648
2017-11-28,10180.312971707348
2017-11-29,10023.412903729444
2017-11-30,10083.515591088299
2017-12-01,10042.02161306477
2017-12-04,10031.26301455641
2017-12-05,10017.613377334123
2017-12-06,9978.323221923354
2017-12-07,10006.231503249648
2017-12-08,9994.612079255585
2017-12-11,9994.556697480682
2017-12-12,9999.330241792206
2017-12-13,9963.159772508148
2017-12-14,9979.563544862274
2017-12-15,10047.874024980072
2017-12-18,10097.66257440329
2017-12-19,10066.62442515326
2017-12-20,10055.392194013124
2017-12-21,10053.753627042299
2017-12-22,10025.142487859255
2017-12-26,10026.96148238135
2017-12-27,10042.85941188765
2017-12-28,10062.512869529251
2017-12-29,10020.851088218216
2018-01-02,10060.667460231309
2018-01-03,10109.810168056016
2018-01-04,10108.448176173692
2018-01-05,10194.146918086535
2018-01-08,10204.696020202164
2018-01-09,10192.252158717636
2018-01-10,10175.191389159683
2018-01-11,10246.465798453812
2018-01-12,10265.830465392593
2018-01-16,10231.651765422348
2018-01-17,10247.97972734404
2018-01-18,10261.517520347123
2018-01-19,10303.74706498671
2018-01-22,10402.195376792435
2018-01-23,10517.599279624466
2018-01-24,10657.30099127913
2018-01-25,10740.33192553282
2018-01-26,10812.574092528823
2018-01-29,10795.708361289504
2018-01-30,10780.876013896468
2018-01-31,10787.980320117476
2018-02-01,10697.600333354476
2018-02-02,10602.977189151292
2018-02-05,10321.73157709456
2018-02-06,10492.069312747484
2018-02-07,10511.450298007494
2018-02-08,10244.736164424425
2018-02-09,10351.707219455247
2018-02-12,10448.42908987761
2018-02-13,10506.829751050478
2018-02-14,10566.797690904146
2018-02-15,10691.462114846712
2018-02-16,10591.410451391703
2018-02-20,10572.276720026499
2018-02-21,10523.983938196665
2018-02-22,10496.840753057963
2018-02-23,10616.384382704264
2018-02-26,10681.1970577035
2018-02-27,10627.676333406931
